Number,SAS NAME,Utilization Flag,UB04 Code,PRCCS,ICD-10-PCS,ICD-10-PCS Label
1,U_BLOOD,Blood,,222,,
7,U_ECHO,Echocardiogram,,,'B24CZZZ',"Ultrasonography of Pericardium "
7,U_ECHO,Echocardiogram,,,'B24DYZZ',"Ultrasonography of Pediatric Heart using Other Contrast "
7,U_ECHO,Echocardiogram,,,'B24DZZ3',"Ultrasonography of Pediatric Heart, Intravascular "
7,U_ECHO,Echocardiogram,,,'B24DZZ4',"Ultrasonography of Pediatric Heart, Transesophageal "
7,U_ECHO,Echocardiogram,,,'B24DZZZ',"Ultrasonography of Pediatric Heart "
8,U_ED,Emergency Room,'0450',,,,
8,U_ED,Emergency Room,'0451',,,,
8,U_ED,Emergency Room,'0452',,,,
8,U_ED,Emergency Room,'0456',,,,
8,U_ED,Emergency Room,'0459',,,,
9,U_EEG,Electroencephalogram,'0740',,,,
9,U_EEG,Electroencephalogram,'0749',,,,
9,U_EEG,Electroencephalogram,,,'4A0004Z',"Measurement of Central Nervous Electrical Activity, Open Approach "
9,U_EEG,Electroencephalogram,,,'4A0034Z',"Measurement of Central Nervous Electrical Activity, Percutaneous Approach "
9,U_EEG,Electroencephalogram,,,'4A0074Z',"Measurement of Central Nervous Electrical Activity, Via Natural or Artificial Opening "
9,U_EEG,Electroencephalogram,,,'4A0084Z',"Measurement of Central Nervous Electrical Activity, Via Natural or Artificial Opening Endoscopic "
9,U_EEG,Electroencephalogram,,,'4A00X4Z',"Measurement of Central Nervous Electrical Activity, External Approach "
9,U_EEG,Electroencephalogram,,,'4A0104Z',"Measurement of Peripheral Nervous Electrical Activity, Open Approach "
9,U_EEG,Electroencephalogram,,,'4A0134Z',"Measurement of Peripheral Nervous Electrical Activity, Percutaneous Approach "
9,U_EEG,Electroencephalogram,,,'4A0174Z',"Measurement of Peripheral Nervous Electrical Activity, Via Natural or Artificial Opening "
9,U_EEG,Electroencephalogram,,,'4A0184Z',"Measurement of Peripheral Nervous Electrical Activity, Via Natural or Artificial Opening Endoscopic "
9,U_EEG,Electroencephalogram,,,'4A01X4Z',"Measurement of Peripheral Nervous Electrical Activity, External Approach "
9,U_EEG,Electroencephalogram,,,'4A1004Z',"Monitoring of Central Nervous Electrical Activity, Open Approach "
9,U_EEG,Electroencephalogram,,,'4A1034Z',"Monitoring of Central Nervous Electrical Activity, Percutaneous Approach "
9,U_EEG,Electroencephalogram,,,'4A1074Z',"Monitoring of Central Nervous Electrical Activity, Via Natural or Artificial Opening "
9,U_EEG,Electroencephalogram,,,'4A1084Z',"Monitoring of Central Nervous Electrical Activity, Via Natural or Artificial Opening Endoscopic "
9,U_EEG,Electroencephalogram,,,'4A10X4Z',"Monitoring of Central Nervous Electrical Activity, External Approach "
9,U_EEG,Electroencephalogram,,,'4A1104Z',"Monitoring of Peripheral Nervous Electrical Activity, Open Approach "
9,U_EEG,Electroencephalogram,,,'4A1134Z',"Monitoring of Peripheral Nervous Electrical Activity, Percutaneous Approach "
9,U_EEG,Electroencephalogram,,,'4A1174Z',"Monitoring of Peripheral Nervous Electrical Activity, Via Natural or Artificial Opening "
9,U_EEG,Electroencephalogram,,,'4A1184Z',"Monitoring of Peripheral Nervous Electrical Activity, Via Natural or Artificial Opening Endoscopic "
9,U_EEG,Electroencephalogram,,,'4A11X4Z',"Monitoring of Peripheral Nervous Electrical Activity, External Approach "
10,U_EKG,Electrocardiogram,,202,,
10,U_EKG,Electrocardiogram,'0730',,,,
10,U_EKG,Electrocardiogram,'0731',,,,
10,U_EKG,Electrocardiogram,'0739',,,,
11,U_EPO,EPO,'0634',,,,
11,U_EPO,EPO,'0635',,,,
12,U_ICU,Intensive Care Unit (ICU),'0200',,,,
12,U_ICU,Intensive Care Unit (ICU),'0201',,,,
12,U_ICU,Intensive Care Unit (ICU),'0202',,,,
12,U_ICU,Intensive Care Unit (ICU),'0203',,,,
12,U_ICU,Intensive Care Unit (ICU),'0204',,,,
12,U_ICU,Intensive Care Unit (ICU),'0206',,,,
12,U_ICU,Intensive Care Unit (ICU),'0207',,,,
12,U_ICU,Intensive Care Unit (ICU),'0208',,,,
12,U_ICU,Intensive Care Unit (ICU),'0209',,,,
13,U_LITHOTRIPSY,Lithotripsy,'0790',,,,
13,U_LITHOTRIPSY,Lithotripsy,'0799',,,,
13,U_LITHOTRIPSY,Lithotripsy,,,'00F3XZZ',"Fragmentation in Intracranial Epidural Space, External Approach "
13,U_LITHOTRIPSY,Lithotripsy,,,'00F4XZZ',"Fragmentation in Intracranial Subdural Space, External Approach "
13,U_LITHOTRIPSY,Lithotripsy,,,'00F5XZZ',"Fragmentation in Intracaranial Subarachnoid Space, External Approach "
13,U_LITHOTRIPSY,Lithotripsy,,,'00F6XZZ',"Fragmentation in Cerebral Ventricle, External Approach "
13,U_LITHOTRIPSY,Lithotripsy,,,'00FUXZZ',"Fragmentation in Spinal Canal, External Approach "
13,U_LITHOTRIPSY,Lithotripsy,,,'02FNXZZ',"Fragmentation in Pericardium, External Approach "
13,U_LITHOTRIPSY,Lithotripsy,,,'08F4XZZ',"Fragmentation in Right Vitreous, External Approach "
13,U_LITHOTRIPSY,Lithotripsy,,,'08F5XZZ',"Fragmentation in Left Vitreous, External Approach "
13,U_LITHOTRIPSY,Lithotripsy,,,'0BF1XZZ',"Fragmentation in Trachea, External Approach "
13,U_LITHOTRIPSY,Lithotripsy,,,'0BF2XZZ',"Fragmentation in Carina, External Approach "
13,U_LITHOTRIPSY,Lithotripsy,,,'0BF3XZZ',"Fragmentation in Right Main Bronchus, External Approach "
13,U_LITHOTRIPSY,Lithotripsy,,,'0BF4XZZ',"Fragmentation in Right Upper Lobe Bronchus, External Approach "
13,U_LITHOTRIPSY,Lithotripsy,,,'0BF5XZZ',"Fragmentation in Right Middle Lobe Bronchus, External Approach "
13,U_LITHOTRIPSY,Lithotripsy,,,'0BF6XZZ',"Fragmentation in Right Lower Lobe Bronchus, External Approach "
13,U_LITHOTRIPSY,Lithotripsy,,,'0BF7XZZ',"Fragmentation in Left Main Bronchus, External Approach "
13,U_LITHOTRIPSY,Lithotripsy,,,'0BF8XZZ',"Fragmentation in Left Upper Lobe Bronchus, External Approach "
13,U_LITHOTRIPSY,Lithotripsy,,,'0BF9XZZ',"Fragmentation in Lingula Bronchus, External Approach "
13,U_LITHOTRIPSY,Lithotripsy,,,'0BFBXZZ',"Fragmentation in Left Lower Lobe Bronchus, External Approach "
13,U_LITHOTRIPSY,Lithotripsy,,,'0CFBXZZ',"Fragmentation in Right Parotid Duct, External Approach "
13,U_LITHOTRIPSY,Lithotripsy,,,'0CFCXZZ',"Fragmentation in Left Parotid Duct, External Approach "
13,U_LITHOTRIPSY,Lithotripsy,,,'0DF5XZZ',"Fragmentation in Esophagus, External Approach "
13,U_LITHOTRIPSY,Lithotripsy,,,'0DF6XZZ',"Fragmentation in Stomach, External Approach "
13,U_LITHOTRIPSY,Lithotripsy,,,'0DF8XZZ',"Fragmentation in Small Intestine, External Approach "
13,U_LITHOTRIPSY,Lithotripsy,,,'0DF9XZZ',"Fragmentation in Duodenum, External Approach "
13,U_LITHOTRIPSY,Lithotripsy,,,'0DFAXZZ',"Fragmentation in Jejunum, External Approach "
13,U_LITHOTRIPSY,Lithotripsy,,,'0DFBXZZ',"Fragmentation in Ileum, External Approach "
13,U_LITHOTRIPSY,Lithotripsy,,,'0DFEXZZ',"Fragmentation in Large Intestine, External Approach "
13,U_LITHOTRIPSY,Lithotripsy,,,'0DFFXZZ',"Fragmentation in Right Large Intestine, External Approach "
13,U_LITHOTRIPSY,Lithotripsy,,,'0DFGXZZ',"Fragmentation in Left Large Intestine, External Approach "
13,U_LITHOTRIPSY,Lithotripsy,,,'0DFHXZZ',"Fragmentation in Cecum, External Approach "
13,U_LITHOTRIPSY,Lithotripsy,,,'0DFJXZZ',"Fragmentation in Appendix, External Approach "
13,U_LITHOTRIPSY,Lithotripsy,,,'0DFKXZZ',"Fragmentation in Ascending Colon, External Approach "
13,U_LITHOTRIPSY,Lithotripsy,,,'0DFLXZZ',"Fragmentation in Transverse Colon, External Approach "
13,U_LITHOTRIPSY,Lithotripsy,,,'0DFMXZZ',"Fragmentation in Descending Colon, External Approach "
13,U_LITHOTRIPSY,Lithotripsy,,,'0DFNXZZ',"Fragmentation in Sigmoid Colon, External Approach "
13,U_LITHOTRIPSY,Lithotripsy,,,'0DFPXZZ',"Fragmentation in Rectum, External Approach "
13,U_LITHOTRIPSY,Lithotripsy,,,'0DFQXZZ',"Fragmentation in Anus, External Approach "
13,U_LITHOTRIPSY,Lithotripsy,,,'0FF4XZZ',"Fragmentation in Gallbladder, External Approach "
13,U_LITHOTRIPSY,Lithotripsy,,,'0FF5XZZ',"Fragmentation in Right Hepatic Duct, External Approach "
13,U_LITHOTRIPSY,Lithotripsy,,,'0FF6XZZ',"Fragmentation in Left Hepatic Duct, External Approach "
13,U_LITHOTRIPSY,Lithotripsy,,,'0FF7XZZ',"Fragmentation in Common Hepatic Duct, External Approach "
13,U_LITHOTRIPSY,Lithotripsy,,,'0FF8XZZ',"Fragmentation in Cystic Duct, External Approach "
13,U_LITHOTRIPSY,Lithotripsy,,,'0FF9XZZ',"Fragmentation in Common Bile Duct, External Approach "
13,U_LITHOTRIPSY,Lithotripsy,,,'0FFCXZZ',"Fragmentation in Ampulla of Vater, External Approach "
13,U_LITHOTRIPSY,Lithotripsy,,,'0FFDXZZ',"Fragmentation in Pancreatic Duct, External Approach "
13,U_LITHOTRIPSY,Lithotripsy,,,'0FFFXZZ',"Fragmentation in Accessory Pancreatic Duct, External Approach "
13,U_LITHOTRIPSY,Lithotripsy,,,'0TF3XZZ',"Fragmentation in Right Kidney Pelvis, External Approach "
13,U_LITHOTRIPSY,Lithotripsy,,,'0TF4XZZ',"Fragmentation in Left Kidney Pelvis, External Approach "
13,U_LITHOTRIPSY,Lithotripsy,,,'0TF6XZZ',"Fragmentation in Right Ureter, External Approach "
13,U_LITHOTRIPSY,Lithotripsy,,,'0TF7XZZ',"Fragmentation in Left Ureter, External Approach "
13,U_LITHOTRIPSY,Lithotripsy,,,'0TFBXZZ',"Fragmentation in Bladder, External Approach "
13,U_LITHOTRIPSY,Lithotripsy,,,'0TFCXZZ',"Fragmentation in Bladder Neck, External Approach "
13,U_LITHOTRIPSY,Lithotripsy,,,'0TFDXZZ',"Fragmentation in Urethra, External Approach "
13,U_LITHOTRIPSY,Lithotripsy,,,'0UF5XZZ',"Fragmentation in Right Fallopian Tube, External Approach "
13,U_LITHOTRIPSY,Lithotripsy,,,'0UF6XZZ',"Fragmentation in Left Fallopian Tube, External Approach "
13,U_LITHOTRIPSY,Lithotripsy,,,'0UF7XZZ',"Fragmentation in Bilateral Fallopian Tubes, External Approach "
13,U_LITHOTRIPSY,Lithotripsy,,,'0UF9XZZ',"Fragmentation in Uterus, External Approach "
13,U_LITHOTRIPSY,Lithotripsy,,,'0WF1XZZ',"Fragmentation in Cranial Cavity, External Approach "
13,U_LITHOTRIPSY,Lithotripsy,,,'0WF3XZZ',"Fragmentation in Oral Cavity and Throat, External Approach "
13,U_LITHOTRIPSY,Lithotripsy,,,'0WF9XZZ',"Fragmentation in Right Pleural Cavity, External Approach "
13,U_LITHOTRIPSY,Lithotripsy,,,'0WFBXZZ',"Fragmentation in Left Pleural Cavity, External Approach "
13,U_LITHOTRIPSY,Lithotripsy,,,'0WFCXZZ',"Fragmentation in Mediastinum, External Approach "
13,U_LITHOTRIPSY,Lithotripsy,,,'0WFDXZZ',"Fragmentation in Pericardial Cavity, External Approach "
13,U_LITHOTRIPSY,Lithotripsy,,,'0WFGXZZ',"Fragmentation in Peritoneal Cavity, External Approach "
13,U_LITHOTRIPSY,Lithotripsy,,,'0WFJXZZ',"Fragmentation in Pelvic Cavity, External Approach "
13,U_LITHOTRIPSY,Lithotripsy,,,'0WFPXZZ',"Fragmentation in Gastrointestinal Tract, External Approach "
13,U_LITHOTRIPSY,Lithotripsy,,,'0WFQXZZ',"Fragmentation in Respiratory Tract, External Approach "
13,U_LITHOTRIPSY,Lithotripsy,,,'0WFRXZZ',"Fragmentation in Genitourinary Tract, External Approach "
14,U_MHSA,Mental Health and Substance Abuse,,218,,
14,U_MHSA,Mental Health and Substance Abuse,,219,,
14,U_MHSA,Mental Health and Substance Abuse,'0114',,,,
14,U_MHSA,Mental Health and Substance Abuse,'0116',,,,
14,U_MHSA,Mental Health and Substance Abuse,'0124',,,,
14,U_MHSA,Mental Health and Substance Abuse,'0126',,,,
14,U_MHSA,Mental Health and Substance Abuse,'0134',,,,
14,U_MHSA,Mental Health and Substance Abuse,'0136',,,,
14,U_MHSA,Mental Health and Substance Abuse,'0144',,,,
14,U_MHSA,Mental Health and Substance Abuse,'0146',,,,
14,U_MHSA,Mental Health and Substance Abuse,'0154',,,,
14,U_MHSA,Mental Health and Substance Abuse,'0156',,,,
14,U_MHSA,Mental Health and Substance Abuse,'0513',,,,
14,U_MHSA,Mental Health and Substance Abuse,'0900',,,,
14,U_MHSA,Mental Health and Substance Abuse,'0901',,,,
14,U_MHSA,Mental Health and Substance Abuse,'0902',,,,
14,U_MHSA,Mental Health and Substance Abuse,'0903',,,,
14,U_MHSA,Mental Health and Substance Abuse,'0904',,,,
14,U_MHSA,Mental Health and Substance Abuse,'0905',,,,
14,U_MHSA,Mental Health and Substance Abuse,'0906',,,,
14,U_MHSA,Mental Health and Substance Abuse,'0907',,,,
14,U_MHSA,Mental Health and Substance Abuse,'0909',,,,
14,U_MHSA,Mental Health and Substance Abuse,'0910',,,,
14,U_MHSA,Mental Health and Substance Abuse,'0911',,,,
14,U_MHSA,Mental Health and Substance Abuse,'0912',,,,
14,U_MHSA,Mental Health and Substance Abuse,'0913',,,,
14,U_MHSA,Mental Health and Substance Abuse,'0914',,,,
14,U_MHSA,Mental Health and Substance Abuse,'0915',,,,
14,U_MHSA,Mental Health and Substance Abuse,'0916',,,,
14,U_MHSA,Mental Health and Substance Abuse,'0917',,,,
14,U_MHSA,Mental Health and Substance Abuse,'0918',,,,
14,U_MHSA,Mental Health and Substance Abuse,'0919',,,,
14,U_MHSA,Mental Health and Substance Abuse,'0944',,,,
14,U_MHSA,Mental Health and Substance Abuse,'0945',,,,
14,U_MHSA,Mental Health and Substance Abuse,'1001',,,,
14,U_MHSA,Mental Health and Substance Abuse,'1002',,,,
15,U_MRT,Magnetic Resonance Technology,,198,,
15,U_MRT,Magnetic Resonance Technology,'0610',,,,
15,U_MRT,Magnetic Resonance Technology,'0611',,,,
15,U_MRT,Magnetic Resonance Technology,'0612',,,,
15,U_MRT,Magnetic Resonance Technology,'0614',,,,
15,U_MRT,Magnetic Resonance Technology,'0615',,,,
15,U_MRT,Magnetic Resonance Technology,'0616',,,,
15,U_MRT,Magnetic Resonance Technology,'0618',,,,
15,U_MRT,Magnetic Resonance Technology,'0619',,,,
16,U_NEWBN2L,Nursery Level II,'0172',,,,
17,U_NEWBN3L,Nursery Level III,'0173',,,,
18,U_NEWBN4L,Nursery Level IV,'0174',,,,
19,U_NUCMED,Nuclear Medicine,'0340',,,,
19,U_NUCMED,Nuclear Medicine,'0341',,,,
19,U_NUCMED,Nuclear Medicine,'0342',,,,
19,U_NUCMED,Nuclear Medicine,'0343',,,,
19,U_NUCMED,Nuclear Medicine,'0344',,,,
19,U_NUCMED,Nuclear Medicine,'0349',,,,
19,U_NUCMED,Nuclear Medicine,,,'C0101ZZ',"Planar Nuclear Medicine Imaging of Brain using Technetium 99m (Tc-99m) "
19,U_NUCMED,Nuclear Medicine,,,'C010YZZ',"Planar Nuclear Medicine Imaging of Brain using Other Radionuclide "
19,U_NUCMED,Nuclear Medicine,,,'C015DZZ',"Planar Nuclear Medicine Imaging of Cerebrospinal Fluid using Indium 111 (In-111) "
19,U_NUCMED,Nuclear Medicine,,,'C015YZZ',"Planar Nuclear Medicine Imaging of Cerebrospinal Fluid using Other Radionuclide "
19,U_NUCMED,Nuclear Medicine,,,'C01YYZZ',"Planar Nuclear Medicine Imaging of Central Nervous System using Other Radionuclide "
19,U_NUCMED,Nuclear Medicine,,,'C0201ZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Brain using Technetium 99m (Tc-99m) "
19,U_NUCMED,Nuclear Medicine,,,'C020FZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Brain using Iodine 123 (I-123) "
19,U_NUCMED,Nuclear Medicine,,,'C020SZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Brain using Thallium 201 (Tl-201) "
19,U_NUCMED,Nuclear Medicine,,,'C020YZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Brain using Other Radionuclide "
19,U_NUCMED,Nuclear Medicine,,,'C025DZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Cerebrospinal Fluid using Indium 111 (In-111) "
19,U_NUCMED,Nuclear Medicine,,,'C025YZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Cerebrospinal Fluid using Other Radionuclide "
19,U_NUCMED,Nuclear Medicine,,,'C02YYZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Central Nervous System using Other Radionuclide "
19,U_NUCMED,Nuclear Medicine,,,'C030BZZ',"Positron Emission Tomographic (PET) Imaging of Brain using Carbon 11 (C-11) "
19,U_NUCMED,Nuclear Medicine,,,'C030KZZ',"Positron Emission Tomographic (PET) Imaging of Brain using Fluorine 18 (F-18) "
19,U_NUCMED,Nuclear Medicine,,,'C030MZZ',"Positron Emission Tomographic (PET) Imaging of Brain using Oxygen 15 (O-15) "
19,U_NUCMED,Nuclear Medicine,,,'C030YZZ',"Positron Emission Tomographic (PET) Imaging of Brain using Other Radionuclide "
19,U_NUCMED,Nuclear Medicine,,,'C03YYZZ',"Positron Emission Tomographic (PET) Imaging of Central Nervous System using Other Radionuclide "
19,U_NUCMED,Nuclear Medicine,,,'C050VZZ',"Nonimaging Nuclear Medicine Probe of Brain using Xenon 133 (Xe-133) "
19,U_NUCMED,Nuclear Medicine,,,'C050YZZ',"Nonimaging Nuclear Medicine Probe of Brain using Other Radionuclide "
19,U_NUCMED,Nuclear Medicine,,,'C05YYZZ',"Nonimaging Nuclear Medicine Probe of Central Nervous System using Other Radionuclide "
19,U_NUCMED,Nuclear Medicine,,,'C2161ZZ',"Planar Nuclear Medicine Imaging of Right and Left Heart using Technetium 99m (Tc-99m) "
19,U_NUCMED,Nuclear Medicine,,,'C216YZZ',"Planar Nuclear Medicine Imaging of Right and Left Heart using Other Radionuclide "
19,U_NUCMED,Nuclear Medicine,,,'C21G1ZZ',"Planar Nuclear Medicine Imaging of Myocardium using Technetium 99m (Tc-99m) "
19,U_NUCMED,Nuclear Medicine,,,'C21GDZZ',"Planar Nuclear Medicine Imaging of Myocardium using Indium 111 (In-111) "
19,U_NUCMED,Nuclear Medicine,,,'C21GSZZ',"Planar Nuclear Medicine Imaging of Myocardium using Thallium 201 (Tl-201) "
19,U_NUCMED,Nuclear Medicine,,,'C21GYZZ',"Planar Nuclear Medicine Imaging of Myocardium using Other Radionuclide "
19,U_NUCMED,Nuclear Medicine,,,'C21GZZZ',"Planar Nuclear Medicine Imaging of Myocardium "
19,U_NUCMED,Nuclear Medicine,,,'C21YYZZ',"Planar Nuclear Medicine Imaging of Heart using Other Radionuclide "
19,U_NUCMED,Nuclear Medicine,,,'C2261ZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Right and Left Heart using Technetium 99m (Tc-99m) "
19,U_NUCMED,Nuclear Medicine,,,'C226YZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Right and Left Heart using Other Radionuclide "
19,U_NUCMED,Nuclear Medicine,,,'C22G1ZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Myocardium using Technetium 99m (Tc-99m) "
19,U_NUCMED,Nuclear Medicine,,,'C22GDZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Myocardium using Indium 111 (In-111) "
19,U_NUCMED,Nuclear Medicine,,,'C22GKZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Myocardium using Fluorine 18 (F-18) "
19,U_NUCMED,Nuclear Medicine,,,'C22GSZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Myocardium using Thallium 201 (Tl-201) "
19,U_NUCMED,Nuclear Medicine,,,'C22GYZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Myocardium using Other Radionuclide "
19,U_NUCMED,Nuclear Medicine,,,'C22GZZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Myocardium "
19,U_NUCMED,Nuclear Medicine,,,'C22YYZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Heart using Other Radionuclide "
19,U_NUCMED,Nuclear Medicine,,,'C23GKZZ',"Positron Emission Tomographic (PET) Imaging of Myocardium using Fluorine 18 (F-18) "
19,U_NUCMED,Nuclear Medicine,,,'C23GMZZ',"Positron Emission Tomographic (PET) Imaging of Myocardium using Oxygen 15 (O-15) "
19,U_NUCMED,Nuclear Medicine,,,'C23GQZZ',"Positron Emission Tomographic (PET) Imaging of Myocardium using Rubidium 82 (Rb-82) "
19,U_NUCMED,Nuclear Medicine,,,'C23GRZZ',"Positron Emission Tomographic (PET) Imaging of Myocardium using Nitrogen 13 (N-13) "
19,U_NUCMED,Nuclear Medicine,,,'C23GYZZ',"Positron Emission Tomographic (PET) Imaging of Myocardium using Other Radionuclide "
19,U_NUCMED,Nuclear Medicine,,,'C23YYZZ',"Positron Emission Tomographic (PET) Imaging of Heart using Other Radionuclide "
